"text","label","notes","pre_labeled"
"Should I start Jaylen Waddle or Stefon Diggs this week? Waddle has a great matchup against the Cardinals secondary but Diggs is my WR2 and more consistent. Half PPR league.","advice","","no"
"Got offered Davante Adams for my Stefon Diggs + a 2nd round pick. Do I do it? Need to make a decision by tonight.","advice","","no"
"Start or sit: Travis Kelce vs the Broncos in a must-win week? 12-team PPR.","advice","","no"
"Is Derrick Henry worth a waiver add this week? He's available in my league and I need RB depth.","advice","","no"
"Should I drop Zach Ertz for Cole Kmet? My TE situation is dire and Ertz hasn't done anything in three weeks.","advice","","no"
"PPR flex: Austin Ekeler or Deebo Samuel this week? Both have solid matchups.","advice","","no"
"My WR2 just got put on IR. Free agents available: Darius Slayton, Van Jefferson, Kendrick Bourne. Which one do I pick up?","advice","","no"
"Need to make a trade. Would you give up Tee Higgins for Tyreek Hill straight up in a PPR league?","advice","","no"
"Should I start two mediocre RBs or go RB/WR in my flex spot? I have Aaron Jones and Damien Harris at RB.","advice","","no"
"Week 14 start or sit: Joe Burrow vs the Browns defense? He's been inconsistent lately but it's a home game.","advice","","no"
"Half PPR: Amari Cooper or Chris Godwin as my WR3 this week?","advice","","no"
"Is it too early to drop Cam Akers? He had two good weeks then disappeared again. My waiver wire has some decent options.","advice","","no"
"Should I trade for Christian McCaffrey if it costs me my first round pick next year?","advice","","no"
"Who do I start at flex: David Montgomery or Courtland Sutton?","advice","","no"
"My opponent has Patrick Mahomes and I have Josh Allen. Do I try to trade Allen for a RB?","advice","","no"
"PPR leagues: should I be holding onto Hunter Henry or is he a drop at this point?","advice","","no"
"I have two quarterbacks on bye this week. Do I pick up a streamer or try to trade for one?","advice","","no"
"Should I start a healthy Tony Pollard over a slightly banged-up Dalvin Cook?","advice","","no"
"Trade offer: My Mike Evans for their DeVante Parker and a third round pick. Take it?","advice","","no"
"Week 11 waiver wire: Is Dontario Drummond worth picking up as a WR3 handcuff?","advice","","no"
"Start or sit: Russell Wilson at home against the Raiders? He's been up and down all season.","advice","","no"
"Do I start my stud RB on a short week or rest him? He's listed as questionable.","advice","","no"
"Need a bye week streamer at QB. Available in my league: Marcus Mariota, Sam Howell, Bailey Zappe. Which one?","advice","","no"
"Should I sell high on A.J. Brown right now while his value is at its peak?","advice","","no"
"Is it worth starting a receiver with a tough matchup if he leads his team in targets?","advice","","no"
"Trade deadline is today. Should I be buying or selling Saquon Barkley right now?","advice","","no"
"PPR: who do I start at TE — Dallas Goedert coming off injury or Gerald Everett with a great matchup?","advice","","no"
"My running back situation is a disaster. Available on waivers: Royce Freeman, Latavius Murray, Boston Scott. Help.","advice","","no"
"Should I hold Breece Hall while he recovers from his ACL or drop him for a guy who's playing now?","advice","","no"
"Is Justin Fields a viable fantasy starter or just a streaming option in non-PPR leagues?","advice","","no"
"Week 9 start/sit: Brandin Cooks vs the Jaguars or Jakobi Meyers vs the Jets? Both are available to me.","advice","","no"
"My team is 2-6 and I'm basically eliminated. Should I trade my best players for future picks?","advice","","no"
"Do I need to start two tight ends this week or can I get away with one and play an extra WR?","advice","","no"
"Flex decision in a must-win: Kadarius Toney with a great matchup or Darnell Mooney in a neutral one?","advice","","no"
"Is Allen Lazard worth holding now that Aaron Rodgers is back? He was dropped in my league.","advice","","no"
"Should I start Josh Jacobs with the Raiders playing in a potential blowout or go with a safer floor option?","advice","","no"
"Trade offer came in: James Conner for my fourth round pick next year. Do I take it?","advice","","no"
"PPR flex this week: Evan Engram or Juwan Johnson at tight end?","advice","","no"
"My league uses standard scoring. Does that change whether I should start a receiver over a running back at flex?","advice","","no"
